ID,tx_hash,rule_id_1,similarity_1,rule_name_1,rule_id_2,similarity_2,rule_name_2,count
1242,0xdd5b79a76d5d3b20ac1862a1693c2ed689af4f87f7faeada6be3940fbef467ab,75,0.4444444444444444,Miner,22,0.4,KR,1226
7611,0x4990f106d9e67398a0a3e5557c5c1ac730d6d9ef2efa6939195d26e95dde7dad,494,0.4444444444444444,WSM,436,0.4375,LQDX,309
578,0x41b2c3283b5bd8a42c90b0d9c997d92ccf83d528de415d2af8c4811000dfb727,32,0.4444444444444444,LW,217,0.4210526315789473,BDEX,236
4208,0xbfebbfe8ce79417b137e622ac168079937efdfe34eb38c46987ea0d7dba5c504,287,0.4399999999999999,MEVa47b,32,0.4117647058823529,LW,844
2724,0xe628bd823c7b0f3445ba1791e74ba420f0bd1d9b116c20a6843d5015264cf562,164,0.4399999999999999,JokInTheBox,436,0.4,LQDX,588
6929,0x4cc8a3ce049978f9f4b545e39ed03b1f45da72557232cdf18201a8861a9fd23a,455,0.4375,APEMAGA,59,0.4,ATK,370
4936,0xeae398105aa8be3c9276b125287f36bb079f82811569f91e0c52a1fa2884cc76,344,0.4375,SCROLL,471,0.375,LocalTrader,244
1241,0x58873522705f8436d01ba5b769f382bb325292a1d11f17bc2f1c94929b760561,75,0.4375,Miner,38,0.4285714285714286,DFS,157
7122,0x5581ef5998cec39a1d2ecf8141cd548fa3d6e351f1c9ea1c306b3f32f7a0692b,471,0.4375,LocalTrader,515,0.375,BNBX,223
7950,0x74d4c8438de11017aad7201e2122ced1fdaaaee82913c9d463b02b3025a8b6f4,515,0.4375,BNBX,436,0.3125,LQDX,713
6502,0xcc7e259e99d9e5a11d07d299a4b506364e3501d4e6e5b6997da22221d1f48c70,436,0.4375,LQDX,333,0.35,WIFCOIN,708
2421,0xeaaca6642d544852d1285e5e4685ca5a7299d1abb124aac31ffc72597f66f245,136,0.4375,RabbyWallet,306,0.4347826086956522,PeapodsFinance,880
3268,0x102d68e57ec1f6adc4cc9ee0e9f8129478d79261aa3687c59c1900ed1eb56b5d,216,0.4375,Bitpaidio,515,0.375,BNBX,402
3744,0xa516a5afdcba76440a88a53e991970d08154869dcc1acccb022e083d84d5f247,246,0.4375,OLIFE,425,0.4,FDP,607
2723,0x30819048bf608105cfb1f106e6f6768c63947a4e58bb01c2973aca2be8f13bda,164,0.4347826086956522,JokInTheBox,2,0.4230769230769231,GPU,388
4342,0xfa2daf7229e4ef8923dabaa2c8d8272807f4e036fc8b578867f87fdf0d1865f5,306,0.4347826086956522,PeapodsFinance,96,0.4347826086956522,BarleyFinance,177
2054,0xb03e3b42c3fe2b3889f8b51f6760bdbd68e7a71c1f3e80fddfffa140d53cabb7,116,0.4347826086956522,TGC,436,0.4210526315789473,LQDX,316
710,0xe98f9c95ec584fcacabad424ac411d7ec35eaf1ea81e179e026a9a2f1708eca7,40,0.4285714285714286,GHT,75,0.3571428571428571,Miner,221
5689,0x1af44a40efb41cab64c2adb0caf14958f52c637a9c3268f21baf1becd7df9698,395,0.4285714285714286,LPC,188,0.4285714285714286,SHOCO,1056
1240,0x53c75d54a8ba7b1129cf165a78f70faadd9ebd8fd250afcf14427f9d9cb41ac9,75,0.4285714285714286,Miner,217,0.4210526315789473,BDEX,267
6868,0xbcf453a19b08c30bc0752f0935bcc009309081b4995b7ac4c371e97c23278a38,450,0.4285714285714286,UniBot,432,0.4285714285714286,PANDORA,202
7638,0xe6e3468d78981f4d3c89735569832ffed0e867bf84a562b314e83484947a6dc7,499,0.4285714285714286,Melo,188,0.4285714285714286,SHOCO,270
7977,0xb9c94c4481424532524a8695c479e006e8e79193d7639bd7d588abcb158d4749,519,0.4285714285714286,TSURU,293,0.4285714285714286,Qixi,5935
2983,0xa3387752f7bc7c07e5c2928960302b37a189728d4c2bed66b49ff3b5392d6420,188,0.4285714285714286,SHOCO,248,0.4,FAPEN,41714
2470,0xd8015f616274098b3e916d4b7597cd63acb3deeb13cf39971f9445fcf957056b,143,0.4285714285714286,Uranium,120,0.4210526315789473,Utopia,457
574,0x9b2c89e91e32dc9a2ffa65b04643082b20559efed661bde44a56a6bc79b17288,32,0.4285714285714286,LW,24,0.4117647058823529,Uerii,2492
